title,level1,level2,level3,description
"Schnebel cow extra, 150g","Dairy, eggs & fresh convenience food",Cheese,Hard & semi-hard cheeses,"The Schnebel Kuh by BÃ¼tschwil KÃ¤se - a full-fat semi-hard cheese from raw cow milk. The cheese has a complete spicy taste and fatty consistency.

That's how the real mountain cheese should look like!  "
"Little Basque, ca. 550g","Dairy, eggs & fresh convenience food",Cheese,Hard & semi-hard cheeses,"Made in the Pyrenees and aged for at least 3 months, the Petit Basque from Istara, with its firm rind and rich and unmistakable taste, remains true to the tradition of pure sheep's cheese from the Pyrenees."
"Hermit mountain Mutschli, approx. 550g","Dairy, eggs & fresh convenience food",Cheese,Hard & semi-hard cheeses,"The hermit mountain mutschli was one of the first products developed and produced by the milk factory. The mild mountain mutschli is produced and maintained from Hermit hey milk and their ""ChÃ¤ser"". After a maturation period of about four weeks the mountain mutschli is already ripe enough to eat: A mild Mutschli, a semi-hard cheese which is produced from thermised cow's milk and a has a fat content of 45%. The mountain mutschli is a good breakfast or afternoon snack cheese, which can be ideally enjoyed with a glass of wine."
"Sternenberg Mutschli Culinarium, about 1kg","Dairy, eggs & fresh convenience food",Cheese,Hard & semi-hard cheeses,"The Sternberger Mutschli is soft, aromatic and in cheese years, a true youngster: it's only matured for 3-4 weeks. The cheesemakers at Sternberg have conjured it from milk from their region, the Zurich Oberland. Silo-free and full of passion."
"AppenzellerÂ® Silver Label, mild-spicy, stick 20g","Dairy, eggs & fresh convenience food",Cheese,Hard & semi-hard cheeses,"Every single AppenzellerÂ® cheese is made with pure, raw cow's milk from cows fed solely on the rich grass and herb mix found in the idyllic Alpine region known as the Alpstein. The AppenzellerÂ® Silver Label is regularly washed with the secret herbal brine during its maturing process of at least three months. The brine brings forth the characteristic taste that cheese lovers around the world do appreciate for over 700 years."
"Sternenberger cheese, mature Culinarium, ca. 200g","Dairy, eggs & fresh convenience food",Cheese,Hard & semi-hard cheeses,"Ripened for 20-25 weeks, this Sternenberger from the Sternenberg dairy is really mature. With a tangy to picant flavour, it's made with milk from Zurich Oberland - naturally silo-free and in the highest possible quality."
"ZÃ¼rioberland mountain cheese, about 180g","Dairy, eggs & fresh convenience food",Cheese,Hard & semi-hard cheeses,The ZÃ¼rioberland mountain cheese is produced in the Bettswil cheese dairy in the traditional way and the care with wine gives it its unique taste.
"Clay stone surchoix Culinarium, ca. 200g","Dairy, eggs & fresh convenience food",Cheese,Hard & semi-hard cheeses,"Strong, spicy - as a surchoix should be. The clay stone surchoix from the RÃ¼egg cheesemakers in Zurich Hinwil consists of fresh raw milk from the region. Because anything else is out of the question for this traditional cheese-making family: Swiss quality at its best."
"Andeerer Bio Berg-Rahmmutschli, ca. 880g","Dairy, eggs & fresh convenience food",Cheese,Hard & semi-hard cheeses,"The Andeer Bio Mountain Cream Mutschli by the alpine dairy Andeer GR is a semi-hard cheese with 50% fat content and is made from raw and whole milk. The cheese mass is fished with a hand sieve from large cheese vats, put into small cheese forms without pressing. As a result, it matures faster and stays a little softer.

It is about four weeks old and has a greased bark.

Originally, the word ""mutschli"" means ""small cheese."""
"Gluschtig tart Demeter 1/4 loaf, approx. 1kg","Dairy, eggs & fresh convenience food",Cheese,Hard & semi-hard cheeses,"Spicy and good or delightfully tart? The cheese from Sennerei Bachtel combines both.

Carefully prepared following all rules of bio-dynamic farming - that's the cheese art, as it should be, naturally guaranteed by Demeter."
"AppenzellerÂ® Silver Label, mild-spicy, 150g","Dairy, eggs & fresh convenience food",Cheese,Hard & semi-hard cheeses,"Every single AppenzellerÂ® cheese is made with pure, raw cow's milk from cows fed solely on the rich grass and herb mix found in the idyllic Alpine region known as the Alpstein. The AppenzellerÂ® Silver Label is regularly washed with the secret herbal brine during its maturing process of at least three months. The brine brings forth the characteristic taste that cheese lovers around the world do appreciate for over 700 years."
"Gluschtig mild Demeter 1/4 loaf, approx. 1kg","Dairy, eggs & fresh convenience food",Cheese,Hard & semi-hard cheeses,"Mild and delicious: this cheese makes your palate whoop with pleasure.

Carefylly prepared following all rules of biodynamic production - the Swiss cheese art at its best, naturally secured by Demeter."
"MÃ¼hlirad, about 200g","Dairy, eggs & fresh convenience food",Cheese,Hard & semi-hard cheeses,"The MÃ¼hlirad (mill-wheel) cheese carries its special name because of its appearance. The cheese loaf with hole in the middle tastes excellent. No wonder, it comes from the StÃ¤dtlichÃ¤si from Lichtensteig in Toggenburg. For Willi Schmid of the StÃ¤dtlichÃ¤si milk is more than just a raw material - and the dairy more than a passion. For his innovative cheese creations he uses high-quality milk, fresh from local farmers."
"Mountain hay, 200g","Dairy, eggs & fresh convenience food",Cheese,Hard & semi-hard cheeses,"Wonderfully spicy: Mountain hay is a raw milk mountain cheese, produced by master cheesemaker Bernhard Meier from raw milk from Swiss Simmental cows and original Simmentaler. The mountain hut at the ""MaÃ®tres Fromagers"" by Fromage Mauerhofer is affined."
"HouderebÃ¤seler mild Demeter 1/4 loaf, approx. 1.1kg","Dairy, eggs & fresh convenience food",Cheese,Hard & semi-hard cheeses,"TotemÃ¼gerli is happy now: the HouderebÃ¤seler by Sennerei Bachtel is the highest example of the Swiss art of cheesemakers in the mild form.

Carefully prepared following all the rules of bio-dynamic cheese art - it has everything to lure SchÃ¶ppelimunggi out."
"Stillsitzer rock salt recent, 150g","Dairy, eggs & fresh convenience food",Cheese,Hard & semi-hard cheeses,"The Stillsiter Steinsalz just from KÃ¤serei Eggsteig is hard cheese from raw milk and natural, non-iodized rock salt that creates the wonderful flavor.   "
"Schnebel cow, 150g","Dairy, eggs & fresh convenience food",Cheese,Hard & semi-hard cheeses,"The Schnebel Kuh by BÃ¼tschwil KÃ¤se - a full-fat semi-hard cheese from raw cow milk. The cheese has a complete spicy taste and fatty consistency.

That's how the real mountain cheese should look like!  "
"Bachtelberger tart Demeter 1/4 loaf, approx. 1kg","Dairy, eggs & fresh convenience food",Cheese,Hard & semi-hard cheeses,"The Zurich Highland's delicate milk culture: the Bachtelberger by Sennerei Bachtel bears the Demeter certificate with pride.

The caring processing following the principles of biological and dynamic farming - the first-class satisfaction from nature."
"Emmental Switzerland AOP Stick, 20g","Dairy, eggs & fresh convenience food",Cheese,Hard & semi-hard cheeses,"Emmental Switzerland AOP by KÃ¤serei Oberwil - the world-famous Swiss cheese with the holes. Smooth, easy to cut, always tasty, and tender.

All these features cater to the mild nutty taste, that we all love that much.   "
"Valtellina Latteria Delebio, approx. 200g","Dairy, eggs & fresh convenience food",Cheese,Hard & semi-hard cheeses,"Valtellina Latteria Delebio by Latteria Valtellina is a young sourish cheese. The bark is not greased, as it is popular in Switzerland, but ripens dry in the cellar and gets regularly turned around."
"Cheese tartlet, 5 pieces, 150g","Dairy, eggs & fresh convenience food",Cheese,Hard & semi-hard cheeses,"The Cheese Plae with five excellent cheese sorts assembled by ChÃ¤s Vreneli in Bergdietikon contains the following cheese sorts: The both Kaltbach hard cheese sorts Emmentaler AOP and Le GruyÃ¨re AOP, the excellent Tilister red, the Vacherin Fribourgeois as well as the mild-spicy Appenzeller."
"Urner Mutschli, ca. 700g","Dairy, eggs & fresh convenience food",Cheese,Hard & semi-hard cheeses,"The Urner Mutschli from the mountain dairy Achwanden from Seelisberg in central Switzerland is an exceptional cheese. The small loaf is made exclusively from raw milk. The maturation lasts 12 to 20 weeks and gives Mutschli a spicy, but not too spicy taste."
"HouderebÃ¤seler tart Demeter 1/4 loaf, approx. 1kg","Dairy, eggs & fresh convenience food",Cheese,Hard & semi-hard cheeses,"TotemÃ¼gerli is happy now: the HouderebÃ¤seler by Sennerei Bachtel is the highest example of the Swiss art of cheesemakers.

Carefully prepared following all the rules of bio-dynamic cheese art - it has everything to lure SchÃ¶ppelimunggi out."
"Bio Coconut Milk, 6-pack of 400ml","Dairy, eggs & fresh convenience food",Vegan alternatives to dairy products,Milk & cream alternatives,"Organic coconut milk with a high coconut content of 60%, for refining curries, soups, cocktails and desserts, for example. Vegan, without stabilizers."
"Bio Coconut Milk, 400ml","Dairy, eggs & fresh convenience food",Vegan alternatives to dairy products,Milk & cream alternatives,"Organic coconut milk with a high coconut content of 60%, for refining curries, soups, cocktails and desserts, for example. Vegan, without stabilizers."
"Bio Almond Drink, 1l","Dairy, eggs & fresh convenience food",Vegan alternatives to dairy products,Milk & cream alternatives,"Organic plant-based milk alternative based on almonds and in Naturland quality. With seven percent almonds, sourced from Spain. Without stabilizers, unsweetened (ingredients naturally contain sugar) and naturally lactose-, milk protein- and gluten-free."
"Emmi Beleaf Alternative to CrÃ¨me FraÃ®che Nature, 175g","Dairy, eggs & fresh convenience food",Vegan alternatives to dairy products,Milk & cream alternatives,"Indulge in Emmi Beleaf, your plant-based companion to CrÃ¨me FraÃ®che Nature from Emmi. Creamy richness without compromise. Elevate your dishes, guilt-free."
"Emmi Beleaf Oat Drink Barista UHT, 1l","Dairy, eggs & fresh convenience food",Vegan alternatives to dairy products,Milk & cream alternatives,"Elevate your coffee game with Emmi Beleaf Oat Drink Barista UHT. Creamy perfection crafted by Emmi. Froth, pour, and savor the plant-powered barista experience."
"Bio Oat Drink unsweetened, 8-pack of 1l","Dairy, eggs & fresh convenience food",Vegan alternatives to dairy products,Milk & cream alternatives,"Bio Oat Drink unsweetened from Alnatura: A vegan milk alternative made from German organic oats - unsweetened (naturally contains sugar from oat fermentation), low in fat and naturally lactose-free. In organic quality."
"Emmi Beleaf Oat Drink Almond UHT, 1l","Dairy, eggs & fresh convenience food",Vegan alternatives to dairy products,Milk & cream alternatives,Savor the plant-powered goodness of Emmi Beleaf's Almond Oat Drink UHT. A harmonious blend by Emmi offering a creamy delight with the goodness of almonds and oats. Elevate your beverage experience with this dairy-free indulgence!
"Bio Rice Drink, 1l","Dairy, eggs & fresh convenience food",Vegan alternatives to dairy products,Milk & cream alternatives,"A low-fat and unsweetened organic plant-based milk alternative based on rice (ingredients naturally contain sugar, also from rice fermentation). Naturally lactose-, milk protein- and gluten-free."
"Bio Oat Drink unsweetened, 1l","Dairy, eggs & fresh convenience food",Vegan alternatives to dairy products,Milk & cream alternatives,"Bio Oat Drink unsweetened from Alnatura: A vegan milk alternative made from German organic oats - unsweetened (naturally contains sugar from oat fermentation), low in fat and naturally lactose-free. In organic quality."
"Bio Milk Alternative UHT Extra Creamy 3.9% Fat, 1l","Dairy, eggs & fresh convenience food",Vegan alternatives to dairy products,Milk & cream alternatives,"The organic milk alternative from Harvest Moon is available in 2 fat levels with 2.1% fat as ""Barista"" and with 3.9% fat as ""Extra Creamy"". Deliciously light or creamy combinations of fresh coconut, rice and lightly roasted cashews - foams and tastes like cow's milk."
"Emmi Beleaf Oat Drink UHT, 1l","Dairy, eggs & fresh convenience food",Vegan alternatives to dairy products,Milk & cream alternatives,"Quench your thirst with Emmi Beleaf Oat Drink UHT â a creamy delight from Emmi. Pure, plant-powered refreshment for your daily boost. Drink sustainably."
"Bio Coconut Milk Coco Saphan, 160ml","Dairy, eggs & fresh convenience food",Vegan alternatives to dairy products,Milk & cream alternatives,"The Claro Fairtrade organic coconut milk is deliciously creamy and ideal for refining exotic dishes, fruity-tropical drinks, smoothies and baking."
"Emmi Beleaf Oat Drink Hazelnut UHT, 1l","Dairy, eggs & fresh convenience food",Vegan alternatives to dairy products,Milk & cream alternatives,"Indulge in Emmi Beleaf's Hazelnut Oat Drink UHT. Crafted by Emmi, this nutty delight combines the richness of hazelnuts with the creaminess of oats. Elevate your plant-based experience with this dairy-free sensation!"
"Bio Hazelnut Drink Nature, 1l","Dairy, eggs & fresh convenience food",Vegan alternatives to dairy products,Milk & cream alternatives,"This plant-based organic milk alternative with five percent hazelnuts is seductively reminiscent of nut nougat in taste. Without stabilizers, unsweetened (ingredients naturally contain sugar) and naturally lactose-, milk protein- and gluten-free."
"Bio Swiss Oat Drink, 1l","Dairy, eggs & fresh convenience food",Vegan alternatives to dairy products,Milk & cream alternatives,"Soyana, in collaboration with the Swiss organic cereal pioneer Biofarm and Bio Partner, is launching its first Swiss oat drink made from Swiss organic oats in Knospe quality. Like all Soyana organic oat drinks, this oat drink is made from whole oat kernels. Without added sugar."
"Bio Whole Rice Drink Plus Calcium, 1l","Dairy, eggs & fresh convenience food",Vegan alternatives to dairy products,Milk & cream alternatives,"Whole Rice Plus Rice Drink with Calcium is a delicious, purely plant-based organic drink. It develops its mild sweetness through the conversion of part of the rice starch by natural enzymes."
"Bio Milk Alnternative UHT Barista 2.1% Fat, 1l","Dairy, eggs & fresh convenience food",Vegan alternatives to dairy products,Milk & cream alternatives,"The organic milk alternative from Harvest Moon is available in 2 fat levels with 2.1% fat as ""Barista"" and with 3.9% fat as ""Extra Creamy"". Deliciously light or creamy combinations of fresh coconut, rice and lightly roasted cashews - foams and tastes like cow's milk."
"Bio Oat Drink Barista, 1l","Dairy, eggs & fresh convenience food",Vegan alternatives to dairy products,Milk & cream alternatives,"Attention baristas: Thanks to the good foaming properties of dennree's Organic Oat Drink Barista, coffee lovers can easily create delicious cappuccinos and macchiatos. With organic whole grain oats and organic soybeans, it also tastes great straight as a refreshing drink or in muesli. Enjoy the creamy mild taste."
"Bio Oat Drink, 1l","Dairy, eggs & fresh convenience food",Vegan alternatives to dairy products,Milk & cream alternatives,"The purely vegetable, unsweetened oat drink from dennree is gently produced from organic whole grain oats. Tastes great pure or refined with fruit. As a refreshing drink, with muesli as well as for cooking and baking. Enjoy the naturally pure taste."
"Bio Oat Cuisine, 200ml","Dairy, eggs & fresh convenience food",Vegan alternatives to dairy products,Milk & cream alternatives,The vegan alternative to whipped cream: Organic Oat Cuisine from Allos is the ideal accompaniment for soups or sauces. The German organic company has stood for the highest organic quality from A to Z since 1974.
"Bio Soy Cuisine, 200ml","Dairy, eggs & fresh convenience food",Vegan alternatives to dairy products,Milk & cream alternatives,"Ideal for cooking, baking and refining: vegetable organic alternative for liquid cream based on sunflower oil and soy. Naturally lactose- and gluten-free, vegan."
"Drink Meal Vanilla, vegan, 500ml","Dairy, eggs & fresh convenience food",Vegan alternatives to dairy products,Milk & cream alternatives,"Yfood is a complete, balanced and portable meal in drink form that contains all the micro and macro nutrients that the body needs. They provide the body with essential nutrients such as proteins, fiber, vegetable oils and 26 vitamins and minerals. In short, a practical, healthy and delicious meal."
"Bio Soy Drink unsweetened, 1l","Dairy, eggs & fresh convenience food",Vegan alternatives to dairy products,Milk & cream alternatives,"Bio Soy Drink unsweetened from Alnatura: The classic plant-based milk alternative: The vegan organic soy drink is ideal for muesli and coffee as well as for baking and cooking. The Bioland-certified soybeans come from Germany. Unsweetened (naturally contains sugar), naturally lactose- and gluten-free."
"Bio Almond Drink unsweetened, 1l","Dairy, eggs & fresh convenience food",Vegan alternatives to dairy products,Milk & cream alternatives,"The almond dink by Isola Bio is a thirst-quenching drink that is naturally sweet and free from cholesterin. You can drink it hot or warm. It tastes perfect for breakfast with muesli, coffee, or tea. It fits perfectly to prepare tasty mixed drinks and vegetable dishes."
"Bio Soy Drink Nature, 1l","Dairy, eggs & fresh convenience food",Vegan alternatives to dairy products,Milk & cream alternatives,The purely vegetable organic soy drink nature from dennree is gently produced from soybeans. The drink tastes pure or as an ingredient in muesli. As a refreshing drink or for cooking and baking. Enjoy the taste.
"Bio Coconut Cuisine, 200ml","Dairy, eggs & fresh convenience food",Vegan alternatives to dairy products,Milk & cream alternatives,The vegan alternative to whipped cream: Organic Coconut Cuisine from Allos is the ideal accompaniment for soups or sauces. The German organic company has stood for the highest organic quality from A to Z since 1974.
"Bio Almond Drink unsweetened, 1l","Dairy, eggs & fresh convenience food",Vegan alternatives to dairy products,Milk & cream alternatives,"This organic almond drink from dennree was gently made from organic almonds. Tastes pure or refined with fruit. As a refreshing drink, with muesli as well as for cooking and baking. Enjoy the fine-mild almond taste."
"Bio Oat Drink Cappuccino, 230ml","Dairy, eggs & fresh convenience food",Vegan alternatives to dairy products,Milk & cream alternatives,"A vegan organic cappuccino made from freshly ground Alnatura Arabica coffee beans and oat drink - for fine, caramel coffee enjoyment. In the 230-milliliter cup ideal for on the go."
"Bio Oat Cuisine, 200ml","Dairy, eggs & fresh convenience food",Vegan alternatives to dairy products,Milk & cream alternatives,An organic cream based on whole oats and sunflower oil - ideal cream substitute for vegan cuisine. Unsweetened* and naturally lactose-free. (*Ingredients contain sugar by nature)
"Bio Soy Alternative to Sour Cream vegan, 200g","Dairy, eggs & fresh convenience food",Vegan alternatives to dairy products,Milk & cream alternatives,"Bio Soy Alternative to Sour Cream from Soyana is the award-winning fermented soy alternative to traditional sour cream made from cow's milk. Produced by Soyana from high-quality organic ingredients, with passion for food - without animal ingredients."
"Drink Meal Chocolate, vegan, 500ml","Dairy, eggs & fresh convenience food",Vegan alternatives to dairy products,Milk & cream alternatives,"Yfood is a complete, balanced and portable meal in drink form that contains all the micro and macro nutrients that the body needs. They provide the body with essential nutrients such as proteins, fiber, vegetable oils and 26 vitamins and minerals. In short, a practical, healthy and delicious meal."
"Bio Coconut Milk Coco Saphan, 400ml","Dairy, eggs & fresh convenience food",Vegan alternatives to dairy products,Milk & cream alternatives,"The Claro Fairtrade organic coconut milk is deliciously creamy and ideal for refining exotic dishes, fruity-tropical drinks, smoothies and baking."
"Bio Soy Drink Nature, 1l","Dairy, eggs & fresh convenience food",Vegan alternatives to dairy products,Milk & cream alternatives,"The Swiss soy drinks from Soyana contain nearly twice as much soy as conventional soy beverages. One serving covers almost a third of the daily requirement of magnesium and iron - and the daily requirement of ""mmm"" is satisfied 100%! Organic, of course."
"Bio Rice Drink Nature, 1l","Dairy, eggs & fresh convenience food",Vegan alternatives to dairy products,Milk & cream alternatives,"Organic rice drink offers pure indulgence. The vegan dennree rice drink is made from European organic rice. It is suitable - pure or refined with fruit - as a refreshing drink, with muesli and for cooking and baking."
"Bio Soy Drink Vanilla, 1l","Dairy, eggs & fresh convenience food",Vegan alternatives to dairy products,Milk & cream alternatives,Bio Soy Drink Vanilla from Alnatura: The vegan organic milk alternative made from European soybeans and the intense flavor of bourbon vanilla extract - adds a sweet and aromatic note to muesli and cappuccino. Also a pure pleasure.
"Bio Oat Drink Vanilla, 1l","Dairy, eggs & fresh convenience food",Vegan alternatives to dairy products,Milk & cream alternatives,"Organic vegetable milk alternative, refined with bourbon vanilla extract; the base is oats from Germany. Unsweetened (ingredients naturally contain sugar, also from oat fermentation), naturally lactose and milk protein free. Organic quality."
"Bio Soy Drink Indian Chai, 0.5l","Dairy, eggs & fresh convenience food",Vegan alternatives to dairy products,Milk & cream alternatives,"The Bio Swiss Soy Drink Indian Chai leaves no Chai wishes open - and is completely vegan and lactose-free. Made according to an Indian recipe in Switzerland, in the very best bio quality by Soyana, the Swiss soy pioneer."
"Bio Oat Drink, 0.5l","Dairy, eggs & fresh convenience food",Vegan alternatives to dairy products,Milk & cream alternatives,"The herbal milk alternative: Soyana's Swiss Oat Drink consists of certified organic oats and is naturally sweet, easily digestible even without sugar - and lastingly good."
"Bio whole Rice Drink, 1l","Dairy, eggs & fresh convenience food",Vegan alternatives to dairy products,Milk & cream alternatives,"The plant-based milk alternative. This Swiss Rice Drink made by Soyana is made from controlled organic rice and is naturally sweet, with no sugar, easily digestible, delicious and sustainable."
"Bio Rice and Coconut Drink, 1l","Dairy, eggs & fresh convenience food",Vegan alternatives to dairy products,Milk & cream alternatives,"The organic rice coconut drink nature from dennree is gently produced from organic rice and refined with organic coconut milk. This tastes pure or refined with fruit - as a refreshing drink, with muesli as well as for cooking and baking. Enjoy the exotic coconut flavor."
"Bio Soy Cuisine, 200ml","Dairy, eggs & fresh convenience food",Vegan alternatives to dairy products,Milk & cream alternatives,The vegan alternative to whipped cream: Organic Coconut Cuisine from Allos is the ideal accompaniment for soups or sauces. The German organic company has stood for the highest organic quality from A to Z since 1974.
"Bio Oat Drink Plus Calcium, 1l","Dairy, eggs & fresh convenience food",Vegan alternatives to dairy products,Milk & cream alternatives,"The herbal milk alternative: The Swiss Oat Drink Plus from Soyana is made from certified organic oats and is naturally sweet, easily digestible even without sugar - and lastingly good."
"Bio Oat Drink, 1l","Dairy, eggs & fresh convenience food",Vegan alternatives to dairy products,Milk & cream alternatives,"The plant-based milk alternative. This Swiss Oat Cereal Drink is organic wholegrain that you can drink. Which is just as well, as wholegrains are rarely to be found on our plates these days. Healthy has never been so lovely."
"Bio Almond Cuisine, 200ml","Dairy, eggs & fresh convenience food",Vegan alternatives to dairy products,Milk & cream alternatives,The vegan alternative to whipped cream: Organic Almond Cuisine from Allos is the ideal accompaniment for soups or sauces. The German organic company has stood for the highest organic quality from A to Z since 1974.
"Bio Oat Drink Chocolate, 1l","Dairy, eggs & fresh convenience food",Vegan alternatives to dairy products,Milk & cream alternatives,Bio Oat Drink Chocolate from Alnatura: A full-bodied organic oat drink with a fine hint of chocolate. Naturally lactose and milk protein free and vegan. The oats come from Germany.
"Bio Rice and Coconut Drink, 1l","Dairy, eggs & fresh convenience food",Vegan alternatives to dairy products,Milk & cream alternatives,"The dream couple: in Provamel Rice Coconut Drink, tasty and refreshing ingredients meet together in a delicious rendezvous in the best bio-quality. It tastes purely and entirely cold, in muesli, it is dedicated for the refining of sauces and entirely vegan creamy vegetables."
"Bio Soy Almond Drink, 1l","Dairy, eggs & fresh convenience food",Vegan alternatives to dairy products,Milk & cream alternatives,"The Swiss soy drinks from Soyana contain nearly twice as much soy as conventional soy beverages. One serving covers almost a third of the daily requirement of magnesium and iron - and the daily requirement of ""mmm"" is satisfied 100%! Organic, of course."
"Bio Rice Drink Choco, 0.5l","Dairy, eggs & fresh convenience food",Vegan alternatives to dairy products,Milk & cream alternatives,"The herbal milk alternative: The Swiss Rice Drink Choco from Soyana consists of certified organic rice with choco and is naturally sweet, easily digestible even without sugar - and lastingly good."
"Bio Soy Drink Original Plus Calcium, 1l","Dairy, eggs & fresh convenience food",Vegan alternatives to dairy products,Milk & cream alternatives,"The Swiss soy drinks with Calcium from Soyana contain nearly twice as much soy as conventional soy beverages. One serving covers almost a third of the daily requirement of magnesium and iron - and the daily requirement of ""mmm"" is satisfied 100%! Organic, of course."
"Bio Soy Almond Drink, 0.5l","Dairy, eggs & fresh convenience food",Vegan alternatives to dairy products,Milk & cream alternatives,"Soyana's Swiss soy drink almonds contain almost twice as much soya than conventional soy drinks. Almost a third of the daily requirement for magnesium and iron is covered - and the daily requirement for ""mmmh"" is 100% fulfilled! Of course organic."
"Bio Almond Whipped Cream, 250g","Dairy, eggs & fresh convenience food",Vegan alternatives to dairy products,Milk & cream alternatives,"Finally! Whipped cream without the cream. And not only vegans should rejoice, but also figure-conscious gourmets. The vegan organic almond whipped cream from Soyana consists of high-quality organic ingredients, from the fine soy to the almonds. Prepared with passion for food - without any animal ingredients."
"Bio Rice Drink vanilla, 1l","Dairy, eggs & fresh convenience food",Vegan alternatives to dairy products,Milk & cream alternatives,"The plant-based milk alternative. This Swiss Rice Drink made by Soyana is made from controlled organic rice, flavoured with vanilla, and is naturally sweet, with no sugar, easily digestible, delicious and sustainable."
"Bio Soy Drink Vanilla, 0.5l","Dairy, eggs & fresh convenience food",Vegan alternatives to dairy products,Milk & cream alternatives,"Soyana's Swiss soy drink vanilla contains almost twice as much soy than conventional soy drinks. Almost a third of the daily requirement for magnesium and iron is covered - and the daily requirement for ""mmmh"" is 100% fulfilled! Of course organic."
"Bio Soy Drink Nature, 0.5l","Dairy, eggs & fresh convenience food",Vegan alternatives to dairy products,Milk & cream alternatives,"Soyana's Swiss Soy Drink Nature contains almost twice as much soy than traditional soy drinks. Almost a third of the daily requirement for magnesium and iron is covered - and the daily requirement for ""mmmh"" is 100% fulfilled! Of course organic."
"Bio Soy Drink Original, 0.5l","Dairy, eggs & fresh convenience food",Vegan alternatives to dairy products,Milk & cream alternatives,"The Soyana Swiss Soy Drink Original contain almost twice as much soy than conventional soy drinks. Almost a third of the daily requirement for magnesium and iron is covered - and the daily requirement for ""mmmh"" is 100% fulfilled! Of course organic."
"Bio Soy Drink Original, 1l","Dairy, eggs & fresh convenience food",Vegan alternatives to dairy products,Milk & cream alternatives,"The Swiss soy drinks from Soyana contain nearly twice as much soy as conventional soy beverages. One serving covers almost a third of the daily requirement of magnesium and iron - and the daily requirement of ""mmm"" is satisfied 100%! Organic, of course."
"Bio Soy Drink Choco, 0.5l","Dairy, eggs & fresh convenience food",Vegan alternatives to dairy products,Milk & cream alternatives,"Soyana's Swiss Soya Drink Choco contain almost twice as much soy than traditional soy drinks. Almost a third of the daily requirement for magnesium and iron is covered - and the daily requirement for ""mmmh"" is 100% fulfilled! Of course organic."
"Emmi Bio Whole Milk UHT, 3.9% fat, 6x 1l","Dairy, eggs & fresh convenience food","Milk, butter & eggs",Milk & dairy drinks,Shelf-stable organic whole milk with 3.9% fat content is ideal for the pantry or in the office. The milk has been heated to ultra high temperatures and thanks to this process can be stored without problems. This whole milk is guaranteed from Switzerland and is Bio Suisse Knospe certified.
"Bio Whole Milk, pasteurized, 3.9% fat, 1l","Dairy, eggs & fresh convenience food","Milk, butter & eggs",Milk & dairy drinks,"Fine organic whole milk from the HÃ¶hn dairy on the beautiful Hirzel above Lake Zurich. The family business is run in the 4. generation and produces fresh dairy products from the milk of surrounding farms daily and this with great success, as the company's history shows."
"Whole milk Demeter, pasteurized, 3.8% fat, 1l","Dairy, eggs & fresh convenience food","Milk, butter & eggs",Milk & dairy drinks,"Fine whole milk, pasteurized by the dairymen of the Bachtel dairy and certified by Demeter."
"Bio Lactose-free whole milk, 3.9% fat, 0.5l","Dairy, eggs & fresh convenience food","Milk, butter & eggs",Milk & dairy drinks,"Cow's milk, without lactose, in the best Swiss quality: that's this organic lactose-free milk from Molkerei Biedermann. The lactose has been enzymatically spliy into galactose and glucose, which can be processed easily and quickly by the body, even for those with lactose intolerance."
"Emmi good day Milk Drink UHT, 1.5% fat, lactose-free, 1l","Dairy, eggs & fresh convenience food","Milk, butter & eggs",Milk & dairy drinks,"For the good day Milk Drink, the lactose was carefully removed from the milk and a small amount was returned. The result can be tasted - natural, full-bodied, lactose-free."
"Emmi Bio Whole Milk UHT, 3.9% fat, 1l","Dairy, eggs & fresh convenience food","Milk, butter & eggs",Milk & dairy drinks,Shelf-stable organic whole milk with 3.9% fat content is ideal for the pantry or in the office. The milk has been heated to ultra high temperatures and thanks to this process can be stored without problems. This whole milk is guaranteed from Switzerland and is Bio Suisse Knospe certified.
"Whole Milk standardized, 3.5% fat, 1l","Dairy, eggs & fresh convenience food","Milk, butter & eggs",Milk & dairy drinks,"The standardized milk with 3.5% fat from Molkerei HÃ¶hn is the fresh pasteurized and homogenized whole milk.

The fourth generation of this family produces fresh dairy products from milk coming from nearby farms daily. Their traditionally successful business has made Molkerei HÃ¶hn famous. "
"Bio Whole Milk, pasteurized, 3.9% Fat, 1l","Dairy, eggs & fresh convenience food","Milk, butter & eggs",Milk & dairy drinks,"Experience the pure goodness of Molkerei Neff's organic whole milk, pasteurized, with 3.9% fat. Sourced from Swiss farms, this milk embodies freshness. Its rich, creamy texture and full flavor make it an essential ingredient for your daily delights."
"Milk partially skimmed, 2.7% fat, 1l","Dairy, eggs & fresh convenience food","Milk, butter & eggs",Milk & dairy drinks,"The standardized milk with 2.7% fat from Molkerei HÃ¶hn is the fresh pasteurized and homogenized whole milk.

The fourth generation of this family produces fresh dairy products from milk coming from nearby farms daily. Their traditionally successful business has made Molkerei HÃ¶hn famous. "
"Whole Milk UHT, 3.5% fat, 1l","Dairy, eggs & fresh convenience food","Milk, butter & eggs",Milk & dairy drinks,Durable whole milk with 3.5% fat content is ideal for the pantry or in the office. The milk was ultra-highly heated and can be stored without problems thanks to this process.
